datetime,open,close,volume,MACD,ATREMA,fed,usdx
6/26/2020,3073.2,3009.05,4.39E+09,215.1963,69.704439,0.08,97.50 
6/29/2020,3018.59,3053.24,2.65E+09,147.92869,64.519626,0.08,97.54 
6/30/2020,3050.2,3100.29,2.76E+09,130.5369,64.239751,0.08,97.39 
7/1/2020,3105.92,3115.86,2.71E+09,166.5808,52.209834,0.08,97.20 
7/2/2020,3143.64,3130.01,2.33E+09,171.15661,51.456556,0.09,97.32 
7/6/2020,3155.29,3179.72,2.38E+09,134.16993,51.831037,0.09,96.79 
7/7/2020,3166.44,3145.32,2.29E+09,109.66475,48.294025,0.09,96.88 
7/8/2020,3153.07,3169.94,2.40E+09,164.85662,43.952683,0.09,96.43 
7/9/2020,3176.17,3152.05,2.60E+09,203.14666,50.661789,0.09,96.70 
7/10/2020,3152.47,3185.04,2.41E+09,235.0025,50.641193,0.09,96.65 
7/13/2020,3205.08,3155.22,2.69E+09,157.37333,62.390795,0.09,96.46 
7/14/2020,3141.11,3197.52,2.64E+09,130.26707,66.023863,0.09,96.26 
7/15/2020,3225.98,3226.56,2.85E+09,179.68278,57.602576,0.1,96.08 
7/16/2020,3208.36,3215.57,2.21E+09,211.52313,47.72505,0.1,96.35 
7/17/2020,3224.21,3224.73,2.22E+09,232.14949,41.1067,0.09,95.94 
7/20/2020,3224.29,3251.84,2.17E+09,176.80604,41.8878,0.1,95.83 
7/21/2020,3268.52,3257.3,2.47E+09,138.6959,37.7652,0.1,95.12 
7/22/2020,3254.86,3276.02,2.42E+09,180.9647,33.9168,0.09,94.97 
7/23/2020,3271.64,3235.66,2.74E+09,209.49939,41.7212,0.09,94.69 
7/24/2020,3218.58,3215.63,2.46E+09,230.3229,39.684133,0.09,94.44 
7/27/2020,3219.84,3239.41,2.36E+09,159.14454,35.516089,0.1,93.67 
7/28/2020,3234.27,3218.44,2.24E+09,127.24061,32.860726,0.1,93.76 
7/29/2020,3227.22,3258.44,2.47E+09,177.80671,37.340484,0.1,93.26 
7/30/2020,3231.76,3246.22,2.44E+09,199.52632,42.996989,0.1,93.02 
7/31/2020,3270.45,3271.12,3.06E+09,227.78275,45.967993,0.1,93.49 
8/3/2020,3288.26,3294.61,2.38E+09,161.44862,41.181995,0.1,93.50 
8/4/2020,3289.92,3306.51,2.40E+09,138.05961,34.277997,0.1,93.38 
8/5/2020,3317.37,3327.77,2.45E+09,171.98843,30.938665,0.1,92.83 
8/6/2020,3323.17,3349.16,2.41E+09,212.80486,31.58911,0.1,92.79 
8/7/2020,3340.05,3351.28,2.28E+09,235.83874,28.999406,0.1,93.44 
8/10/2020,3356.04,3360.47,2.57E+09,185.35756,28.616271,0.1,93.58 
8/11/2020,3370.34,3333.69,2.90E+09,141.72892,37.267514,0.1,93.63 
8/12/2020,3355.46,3380.35,2.25E+09,181.25861,42.911676,0.1,93.44 
8/13/2020,3372.95,3373.43,1.97E+09,218.61402,36.571117,0.1,93.34 
8/14/2020,3368.66,3372.85,1.71E+09,235.04107,30.004078,0.1,93.10 
8/17/2020,3380.86,3381.99,1.95E+09,177.57148,24.916052,0.1,92.85 
8/18/2020,3387.04,3389.78,1.80E+09,142.00868,24.914035,0.09,92.27 
8/19/2020,3392.51,3374.85,2.02E+09,181.02572,26.569357,0.09,92.89 
8/20/2020,3360.48,3385.51,1.84E+09,211.15811,29.749571,0.09,92.79 
8/21/2020,3386.01,3397.16,1.99E+09,237.00045,26.716381,0.09,93.25 
8/24/2020,3418.09,3431.28,2.28E+09,176.34095,29.454254,0.09,93.30 
8/25/2020,3435.95,3443.62,2.04E+09,140.66644,25.759503,0.09,93.02 
8/26/2020,3449.97,3478.73,2.02E+09,184.55804,29.656335,0.09,93.01 
8/27/2020,3485.14,3484.55,2.33E+09,225.77502,30.78089,0.08,93.01 
8/28/2020,3494.69,3508.01,2.05E+09,248.82517,28.823927,0.09,92.37 
8/31/2020,3509.73,3500.31,2.55E+09,190.21911,26.389284,0.09,92.14 
9/1/2020,3507.44,3526.65,2.25E+09,131.4301,28.73619,0.09,92.34 
9/2/2020,3543.76,3580.84,2.58E+09,89.474911,39.644126,0.09,92.85 
9/3/2020,3564.74,3455.06,3.20E+09,161.87367,77.572751,0.09,92.74 
9/4/2020,3453.6,3426.96,3.05E+09,222.27495,94.888501,0.09,92.72 
9/8/2020,3371.88,3331.84,3.07E+09,119.46463,95.822334,0.09,93.48 
9/9/2020,3369.82,3398.96,2.51E+09,181.69152,94.858223,0.09,93.26 
9/10/2020,3412.56,3339.19,2.58E+09,201.42146,95.338815,0.09,93.34 
9/11/2020,3352.7,3340.97,2.35E+09,235.95807,83.052543,0.09,93.33 
9/14/2020,3363.56,3383.54,2.37E+09,171.83113,76.021696,0.09,93.07 
9/15/2020,3407.73,3401.2,2.48E+09,136.73899,62.66113,0.09,93.05 
9/16/2020,3411.23,3385.49,2.86E+09,179.94847,56.59742,0.09,93.21 
9/17/2020,3346.86,3357.01,2.74E+09,220.17546,56.621613,0.09,92.97 
9/18/2020,3357.38,3319.47,4.08E+09,239.30555,61.037742,0.09,92.93 
9/21/2020,3285.57,3281.06,3.00E+09,180.25951,70.815162,0.09,93.54 
9/22/2020,3295.75,3315.57,2.39E+09,136.56145,63.663441,0.09,93.99 
9/23/2020,3320.11,3236.92,2.48E+09,170.7429,72.702294,0.09,94.39 
9/24/2020,3226.14,3246.59,2.42E+09,213.7419,71.551529,0.09,94.35 
9/25/2020,3236.66,3298.46,2.20E+09,239.59545,73.847686,0.09,94.58 
9/28/2020,3333.9,3351.6,2.22E+09,170.1733,69.991791,0.09,94.26 
9/29/2020,3350.92,3335.47,1.95E+09,129.176,56.787861,0.09,93.89 
9/30/2020,3341.21,3363,2.62E+09,178.66475,57.221907,0.09,93.89 
10/1/2020,3385.87,3380.8,2.35E+09,220.64206,50.077938,0.09,93.71 
10/2/2020,3338.94,3348.44,2.36E+09,223.6016,52.421959,0.09,93.84 
10/5/2020,3367.27,3408.63,2.04E+09,176.32055,55.324639,0.09,93.51 
10/6/2020,3408.74,3360.95,2.55E+09,134.76794,62.556426,0.09,93.83 
10/7/2020,3384.56,3419.45,2.08E+09,177.87819,63.474284,0.09,93.63 
10/8/2020,3434.28,3446.83,2.10E+09,223.45359,51.592856,0.09,93.61 
10/9/2020,3459.67,3477.13,2.21E+09,250.74392,46.231904,0.09,93.06 
10/13/2020,3534.01,3511.93,2.36E+09,151.89384,47.827513,0.09,93.53 
10/14/2020,3515.47,3488.67,2.17E+09,186.73671,47.681675,0.09,93.38 
10/15/2020,3453.72,3483.34,2.01E+09,223.68936,47.851117,0.09,93.86 
10/16/2020,3493.5,3483.81,2.21E+09,252.75151,43.670745,0.09,93.68 
10/19/2020,3493.66,3426.92,2.19E+09,173.36554,56.610496,0.09,93.43 
10/20/2020,3439.38,3443.12,2.11E+09,136.1384,54.410331,0.09,93.07 
10/21/2020,3439.91,3435.56,2.07E+09,175.00159,46.873554,0.09,92.61 
10/22/2020,3438.5,3453.49,2.40E+09,217.24146,46.312369,0.09,92.95 
10/23/2020,3464.9,3465.39,2.16E+09,247.14173,39.544913,0.09,92.77 
10/26/2020,3441.42,3400.97,2.44E+09,166.34252,59.873275,0.09,93.05 
10/27/2020,3403.15,3390.68,2.40E+09,144.12472,46.84885,0.09,92.94 
10/28/2020,3342.48,3271.03,3.15E+09,180.0614,71.829233,0.09,93.41 
10/29/2020,3277.17,3310.11,2.75E+09,210.04155,74.962822,0.09,93.96 
10/30/2020,3293.59,3269.96,3.00E+09,223.27428,75.365215,0.09,94.04 
11/2/2020,3296.2,3310.24,2.53E+09,176.67559,70.303477,0.09,94.05 
11/3/2020,3336.25,3369.16,2.33E+09,135.4008,73.285651,0.09,93.55 
11/4/2020,3406.46,3443.44,2.90E+09,190.6217,87.887101,0.09,93.41 
11/5/2020,3485.74,3510.45,2.56E+09,225.71697,87.128067,0.09,92.53 
11/6/2020,3508.34,3509.44,2.17E+09,252.32518,70.498711,0.09,92.23 
11/9/2020,3583.04,3550.5,5.06E+09,179.9683,92.515808,0.09,92.73 
11/10/2020,3543.26,3545.53,3.46E+09,146.71187,76.780538,0.09,92.75 
11/12/2020,3562.67,3537.01,2.42E+09,227.44862,60.069128,0.09,92.96 
11/13/2020,3552.57,3585.15,2.28E+09,257.92016,58.929419,0.09,92.76 
11/16/2020,3600.16,3626.91,2.86E+09,185.48516,53.739613,0.09,92.57 
11/17/2020,3610.31,3609.53,2.34E+09,160.11222,48.569742,0.09,92.42 
11/18/2020,3612.09,3567.79,2.67E+09,205.7987,49.633161,0.09,92.32 
11/19/2020,3559.41,3581.87,2.25E+09,234.16281,46.882107,0.08,92.29 
11/20/2020,3579.31,3557.54,2.21E+09,251.04565,39.594738,0.08,92.39 
11/23/2020,3566.82,3577.59,2.49E+09,132.15549,38.743159,0.08,92.51 
11/24/2020,3594.52,3635.41,3.17E+09,152.9925,47.402106,0.08,92.23 
11/25/2020,3635.5,3629.65,2.31E+09,214.25611,37.514737,0.08,91.99 
11/30/2020,3634.18,3621.63,3.64E+09,209.2189,34.655439,0.09,91.87 
12/1/2020,3645.87,3662.45,2.64E+09,168.90356,42.043626,0.09,91.31 
12/2/2020,3653.78,3669.01,2.38E+09,190.40992,36.735751,0.09,91.12 
12/3/2020,3668.28,3666.72,2.64E+09,231.47055,33.0105,0.09,90.71 
12/4/2020,3670.94,3699.12,2.59E+09,258.45093,32.833667,0.09,90.70 
12/7/2020,3694.73,3691.96,2.34E+09,189.64196,28.635778,0.09,90.79 
12/8/2020,3683.05,3702.25,2.27E+09,172.96764,28.963852,0.09,90.97 
12/9/2020,3705.98,3672.82,2.76E+09,212.51506,36.592568,0.09,91.09 
12/10/2020,3659.13,3668.1,2.41E+09,231.81194,35.498379,0.09,90.79 
12/11/2020,3656.08,3663.46,2.31E+09,261.83182,35.232252,0.09,90.98 
12/14/2020,3675.27,3647.49,2.54E+09,178.42732,40.744835,0.09,90.71 
12/15/2020,3666.41,3694.62,2.53E+09,169.62715,43.096557,0.09,90.47 
12/16/2020,3696.25,3701.17,2.27E+09,216.82183,36.297704,0.09,90.45 
12/17/2020,3713.65,3722.48,2.19E+09,234.63673,32.181803,0.09,89.82 
12/18/2020,3722.39,3709.41,4.25E+09,263.58045,35.074535,0.09,90.02 
12/21/2020,3684.28,3694.92,2.61E+09,178.0963,47.693024,0.09,90.04 
12/22/2020,3698.08,3687.26,2.21E+09,174.61981,39.162016,0.09,90.65 
12/23/2020,3693.42,3690.01,1.85E+09,221.77477,34.101344,0.09,90.41 
12/28/2020,3723.03,3735.36,1.66E+09,180.40899,30.861708,0.09,90.34 
12/29/2020,3750.01,3727.04,1.64E+09,175.06577,31.511139,0.09,90.01 
12/30/2020,3736.19,3732.04,1.56E+09,224.34844,26.870759,0.09,89.63 
12/31/2020,3733.27,3756.07,1.66E+09,232.54383,29.020506,0.09,89.94 
